ts,open,high,low,close,vol
1576731600,7153.65,7176.67,7129.81,7165.38,1685.62
1576735200,7165.38,7176.94,7140.4,7143.17,1032.88
1576738800,7143.17,7148.54,7102.04,7104.21,1306.63
1576742400,7104.21,7123.05,7090.29,7090.35,1705.68
1576746000,7090.35,7157.38,7057.66,7124.71,2367.95
1576749600,7124.71,7195.4,7124.33,7161.88,1596.55
1576753200,7161.88,7182.05,7139.18,7159.26,549.16
1576756800,7159.26,7219.27,7149.71,7192.69,1782.75
1576760400,7192.69,7235.91,7078.73,7094.62,2483.14
1576764000,7094.62,7128.65,7081.78,7127.09,1608.68
1576767600,7127.09,7181.33,7120.16,7151.04,1415.56
1576771200,7151.04,7176.98,7131.28,7145.29,1078.96
1576774800,7145.29,7161.26,7122.79,7138.39,1156.05
1576778400,7138.39,7176.16,7130.11,7164.42,688.56
1576782000,7164.42,7189.81,7148.41,7188.78,1076.29
1576785600,7188.78,7193.2,7150.54,7163.18,845.02
1576789200,7163.18,7175.05,7146.06,7165.6,650.07
1576792800,7165.6,7168.66,7141.91,7162.72,780.13
1576796400,7162.72,7172.77,7151.17,7159.26,690.06
1576800000,7159.26,7171.67,7094.06,7131.22,1456.08
1576803600,7131.22,7136.16,7105.52,7112.72,672.23
1576807200,7112.72,7145.26,7108.39,7132.76,755.57
1576810800,7132.76,7152.33,7129.06,7139.19,507.89
1576814400,7139.19,7149.34,7130.23,7135.11,417.94
1576818000,7135.11,7140.68,7101.23,7101.23,971.57
1576821600,7101.23,7134.64,7097.89,7123.33,912.6
1576825200,7123.33,7163.67,7122.18,7156.73,842.65
1576828800,7156.73,7179.61,7117.56,7146.01,2653.59
1576832400,7146.01,7170.58,7142.15,7147.78,1368.45
1576836000,7147.78,7163.76,7143.39,7156.83,650.81
1576839600,7156.83,7171.85,7152.44,7161.14,1253
1576843200,7161.14,7209.2,7156.39,7199.83,1573.58
1576846800,7199.83,7205.9,7182.95,7203.85,692.97
1576850400,7203.85,7215.08,7171.3,7214.25,1500.88
1576854000,7214.25,7230.25,7155.01,7172.83,1197.37
1576857600,7172.83,7185.37,7155.43,7180.98,949.64
1576861200,7180.98,7203.09,7164.99,7200.38,949.42
1576864800,7200.38,7227.32,7190.3,7209.63,1321.95
1576868400,7209.63,7224.41,7202.88,7214.07,574.92
1576872000,7214.07,7234.56,7209.41,7226.73,810.35
1576875600,7226.73,7229.22,7207.56,7209.85,583.84
1576879200,7209.85,7224.3,7192.72,7209.95,568.95
1576882800,7209.95,7212.09,7191.38,7203.41,370.01
1576886400,7203.41,7213.86,7180.39,7193.93,449.03
1576890000,7193.93,7198.75,7167.85,7173.22,381.22
1576893600,7173.22,7197.41,7173.14,7194.34,273.5
1576897200,7194.34,7194.34,7177.16,7181.59,403.55
1576900800,7181.59,7200.51,7170.69,7172.88,611.01
1576904400,7172.88,7190.71,7167.05,7179.2,291.41
1576908000,7179.2,7186.32,7161.02,7165.26,982.27
1576911600,7165.26,7168.88,7151.07,7153.86,461.9
1576915200,7153.86,7166.24,7151.06,7163.25,220.95
1576918800,7163.25,7168.62,7132.82,7136.81,1067.91
1576922400,7136.81,7158.98,7136.41,7156.03,619.54
1576926000,7156.03,7176.85,7148.59,7168.74,405.97
1576929600,7168.74,7176.11,7155.77,7167.89,455.45
1576933200,7167.89,7169.28,7138.93,7154.88,559.5
1576936800,7154.88,7166.91,7142.36,7156.92,610.2
1576940400,7156.92,7167.27,7145.03,7167.25,435.93
1576944000,7167.25,7168.13,7146.29,7164.07,399.47
1576947600,7164.07,7180.53,7161.61,7178.11,646.47
1576951200,7178.11,7183.27,7166.13,7173.76,481.53
1576954800,7173.76,7178.73,7163.73,7176.76,262.89
1576958400,7176.76,7185.16,7163.34,7179.02,419.44
1576962000,7179.02,7201.93,7152.67,7153.87,938.12
1576965600,7153.87,7172.41,7148.9,7167.25,411.52
1576969200,7167.25,7178.25,7144.76,7159.47,312.34
1576972800,7159.47,7180.96,7149.44,7150.07,292.1
1576976400,7150.07,7182.02,7150.07,7164.8,231.4
1576980000,7164.8,7187.01,7159.64,7169.51,272.34
1576983600,7169.51,7179.85,7156.34,7163.79,161.86
1576987200,7163.79,7182.54,7162.18,7170.38,305.53
1576990800,7170.38,7177.41,7152.06,7160.76,202.93
1576994400,7160.76,7175.23,7143.17,7154.63,265.01
1576998000,7154.63,7209.9,7150.25,7206.44,867.74
1577001600,7206.44,7219.15,7176.31,7182.65,929.19
1577005200,7182.65,7201.48,7180.31,7191.47,200.99
1577008800,7191.47,7214.39,7186.73,7189.73,581.83
1577012400,7189.73,7209.12,7182.22,7183.37,239.22
1577016000,7183.37,7204.26,7182.02,7191.81,254.37
1577019600,7191.81,7215.79,7180.62,7195.95,720.79
1577023200,7195.95,7202.32,7181.71,7190.67,232.38
1577026800,7190.67,7220.38,7187.53,7214.93,479.35
1577030400,7214.93,7284.55,7194.61,7247.55,3124.38
1577034000,7247.55,7389.68,7231.25,7333.77,3978.69
1577037600,7333.77,7436.95,7332.7,7409.83,3228.55
1577041200,7409.83,7466.81,7384.74,7421.89,3652.81
1577044800,7421.89,7469.44,7408.53,7430.35,1441.44
1577048400,7430.35,7434.12,7396.75,7418.03,835.07
1577052000,7418.03,7426.92,7393.18,7416.54,950.82
1577055600,7416.54,7527.4,7415.74,7517.58,3876.46
1577059200,7517.58,7634.84,7517.58,7564.47,4924.84
1577062800,7564.47,7643.63,7551.32,7622.93,2320.42
1577066400,7622.93,7645.35,7568.87,7577.49,1644.9
1577070000,7577.49,7613.06,7576.28,7605.8,1075.67
1577073600,7605.8,7607.57,7573.66,7576.22,594.69
1577077200,7576.22,7592.23,7554.41,7560.51,865.18
1577080800,7560.51,7567.92,7473.58,7489.42,2335.69
