ts,dvol_open,dvol_high,dvol_low,dvol_close
1652227200,81.61,109.04,79.65,101.25
1652313600,101.25,139.73,99.57,114.58
1652400000,114.58,115.12,91.7,99.66
1652486400,99.67,99.79,92.63,93.57
1652572800,93.57,96.31,91.79,92.34
1652659200,92.34,97.55,92.29,96.37
1652745600,96.37,96.39,88.6,91.46
1652832000,89.74,100.59,87.3,100.59
1652918400,100.59,100.95,91.05,91.11
1653004800,91.11,93.33,83.02,88.56
1653091200,88.56,88.66,84.11,84.12
1653177600,84.12,84.95,82.16,82.49
1653264000,82.49,83.59,80.03,82.54
1653350400,82.54,84.5,80.65,82.27
1653436800,82.27,83.16,80.45,82.57
1653523200,82.57,90.14,80.25,81.63
1653609600,81.64,84.76,79.62,84.72
1653696000,84.72,84.78,80.7,80.91
1653782400,80.91,82.41,79.4,81.2
1653868800,81.2,81.42,72.12,75.39
1653955200,75.39,75.52,72.26,73.06
1654041600,73.06,76.81,71.89,74.75
1654128000,71.74,74.12,71.74,73.43
1654214400,73.43,74.3,70.84,71.33
1654300800,71.33,71.67,70.15,70.96
1654387200,70.96,72.04,69.44,72.04
1654473600,72.04,72.04,67.6,68.51
1654560000,68.51,73.49,68.51,71.51
1654646400,71.51,72.79,69.11,71.7
1654732800,71.7,72.62,70.51,72.57
1654819200,72.57,74.77,71.68,72.55
1654905600,72.55,75.58,71.11,75.05
1654992000,75.05,93.99,74.28,93.99
1655078400,93.99,107.5,92.78,106.0
1655164800,106.0,113.43,97.87,103.09
1655251200,103.09,142.02,89.15,89.15
1655337600,89.15,119.65,88.53,119.65
1655424000,119.65,121.89,105.53,108.67
1655510400,108.67,133.42,107.09,115.03
1655596800,115.03,118.45,108.86,109.97
1655683200,109.97,112.98,98.9,99.27
1655769600,99.27,99.52,93.8,97.96
1655856000,97.96,100.67,96.79,99.76
1655942400,99.76,99.84,91.29,91.46
1656028800,91.46,93.09,88.23,90.66
1656115200,90.66,90.75,86.65,86.66
1656201600,86.66,90.72,86.4,90.26
1656288000,90.26,91.0,87.5,89.09
1656374400,89.09,90.02,85.93,87.5
1656460800,87.5,91.54,86.17,91.37
1656547200,91.37,99.17,90.93,94.14
1656633600,94.14,95.49,90.28,92.97
1656720000,92.97,93.79,90.35,92.23
1656806400,92.23,94.21,91.1,92.07
1656892800,92.07,92.78,86.92,86.99
1656979200,86.99,87.51,84.43,86.08
1657065600,81.78,84.1,81.62,82.25
1657152000,82.25,82.97,80.73,81.35
1657238400,81.35,82.71,77.8,78.39
1657324800,78.39,78.98,72.73,73.55
1657411200,73.55,76.05,73.4,75.86
1657497600,75.86,80.67,75.5,80.52
1657584000,80.52,86.07,80.4,85.86
1657670400,85.86,86.43,80.89,80.89
1657756800,80.89,84.68,79.51,81.35
1657843200,81.35,81.45,77.99,78.7
1657929600,78.7,82.73,77.01,81.99
1658016000,81.99,83.41,80.68,81.29
1658102400,81.29,83.39,79.8,83.39
1658188800,83.38,84.5,81.15,82.9
1658275200,82.9,87.1,79.76,83.99
1658361600,83.99,85.37,82.37,82.38
1658448000,82.38,84.89,80.01,84.28
1658534400,84.28,84.44,80.31,80.45
1658620800,80.45,83.6,79.06,83.17
1658707200,83.17,83.98,79.81,81.35
1658793600,81.35,82.87,80.08,81.39
1658880000,81.39,81.95,74.84,76.49
1658966400,76.49,77.75,74.09,76.89
1659052800,76.89,77.69,73.34,75.03
1659139200,75.03,79.65,74.77,78.55
1659225600,78.55,79.01,76.68,78.66
1659312000,78.66,78.66,77.02,77.69
1659398400,77.69,78.66,76.59,77.79
1659484800,77.79,78.23,75.05,75.87
1659571200,75.87,75.87,72.98,73.67
1659657600,73.67,74.23,70.63,71.85
1659744000,71.85,72.98,71.34,71.7
1659830400,71.7,73.6,71.56,73.6
1659916800,73.6,76.12,72.82,75.17
1660003200,75.17,75.35,73.68,74.67
1660089600,74.67,75.85,70.87,70.87
1660176000,70.87,72.97,70.1,71.48
1660262400,71.48,71.62,69.71,70.27
1660348800,70.27,71.1,69.38,70.6
1660435200,70.6,73.14,69.94,70.89
1660521600,70.89,71.1,68.94,70.2
1660608000,70.2,71.61,69.76,71.55
1660694400,71.55,75.42,70.68,75.32
1660780800,74.09,75.05,73.44,74.82
1660867200,74.82,82.7,74.76,81.24
1660953600,81.24,81.57,76.97,77.7
1661040000,77.7,79.35,76.99,79.02
1661126400,79.02,80.97,78.42,80.35
1661212800,80.35,80.47,77.73,77.78
1661299200,77.78,78.37,73.91,75.59
1661385600,75.59,75.59,72.66,73.83
1661472000,73.83,75.64,70.61,72.6
1661558400,72.6,73.33,69.92,73.03
1661644800,73.03,76.19,72.46,76.17
1661731200,76.16,76.92,72.75,73.2
1661817600,73.2,77.69,71.62,75.78
1661904000,75.78,76.01,71.17,75.04
1661990400,75.04,79.91,74.45,77.83
1662076800,77.83,77.83,72.23,74.66
1662163200,74.66,78.74,73.43,77.86
1662249600,77.86,77.86,74.89,76.01
1662336000,76.01,76.91,74.89,76.88
1662422400,76.88,81.46,74.97,81.46
1662508800,81.46,84.32,75.62,76.12
1662595200,76.12,76.14,74.09,75.72
1662681600,75.72,77.73,72.02,75.12
1662768000,75.12,79.03,72.25,78.15
1662854400,78.15,78.99,75.1,78.91
1662940800,78.91,79.35,76.34,79.15
1663027200,79.15,83.44,78.25,81.07
1663113600,81.07,81.25,76.02,78.19
1663200000,78.19,79.61,75.28,76.05
