regime,DVOL,vrp,instrument,breakeven_premium_$/side/day,breakeven_premium_$/pair/day
calm,45,0.0,straddle_30d,611,1222
calm,45,0.0,strangle_7d,600,1201
calm,45,0.0,daily_strangle,597,1195
calm,45,0.0,perp_delta_only,602,1204
mod,55,0.0,straddle_30d,942,1883
mod,55,0.0,strangle_7d,918,1835
mod,55,0.0,daily_strangle,918,1835
mod,55,0.0,perp_delta_only,922,1843
elev,65,0.0,straddle_30d,1336,2673
elev,65,0.0,strangle_7d,1297,2593
elev,65,0.0,daily_strangle,1294,2589
elev,65,0.0,perp_delta_only,1298,2595
stress,80,0.0,straddle_30d,>2000,>4000
stress,80,0.0,strangle_7d,1950,3900
stress,80,0.0,daily_strangle,1947,3895
stress,80,0.0,perp_delta_only,1948,3896
calm,45,0.2,straddle_30d,380,760
calm,45,0.2,strangle_7d,368,735
calm,45,0.2,daily_strangle,399,797
calm,45,0.2,perp_delta_only,359,719
mod,55,0.2,straddle_30d,603,1206
mod,55,0.2,strangle_7d,575,1150
mod,55,0.2,daily_strangle,621,1242
mod,55,0.2,perp_delta_only,570,1140
elev,65,0.2,straddle_30d,864,1728
elev,65,0.2,strangle_7d,822,1645
elev,65,0.2,daily_strangle,877,1755
elev,65,0.2,perp_delta_only,818,1636
stress,80,0.2,straddle_30d,1337,2673
stress,80,0.2,strangle_7d,1258,2517
stress,80,0.2,daily_strangle,1321,2642
stress,80,0.2,perp_delta_only,1256,2512
