regime,vrp,instrument,premium_$/side/day,concurrent_pairs,L1_hedge_equity,L2_tail_buffer,L3_loss_buffer,total_capital_$,expected_weekly_aggregate_PnL,p05_weekly_aggregate_PnL,weeks_to_burn_30k_at_E[PnL]
calm,0.0,straddle_30d,250,1,4528,12507,5065,28731,-5065,-8764,5
calm,0.0,straddle_30d,250,4,18113,25015,20260,82406,-20260,-27659,1
calm,0.0,straddle_30d,250,8,36227,35376,40521,145763,-40521,-50985,0
calm,0.0,straddle_30d,250,12,54341,43327,60782,205986,-60782,-73597,0
calm,0.0,straddle_30d,250,25,113211,62538,126629,393093,-126629,-145127,0
calm,0.0,straddle_30d,250,50,226422,88442,253259,738561,-253259,-279419,0
calm,0.0,straddle_30d,250,100,452844,125076,506519,1409772,-506519,-543515,0
calm,0.0,straddle_30d,250,250,1132110,197763,1266299,3375026,-1266299,-1324794,0
calm,0.0,straddle_30d,250,500,2264221,279679,2532599,6599450,-2532599,-2615323,0
calm,0.0,straddle_30d,250,1000,4528443,395526,5065199,12985919,-5065199,-5182188,0
calm,0.0,straddle_30d,400,1,4537,9750,2925,22377,-2925,-6722,10
calm,0.0,straddle_30d,400,4,18149,19501,11702,64159,-11702,-19296,2
calm,0.0,straddle_30d,400,8,36298,27579,23404,113467,-23404,-34144,1
calm,0.0,straddle_30d,400,12,54448,33777,35106,160332,-35106,-48261,0
calm,0.0,straddle_30d,400,25,113434,48754,73138,305925,-73138,-92125,0
calm,0.0,straddle_30d,400,50,226868,68948,146277,574723,-146277,-173129,0
calm,0.0,straddle_30d,400,100,453736,97508,292555,1096940,-292555,-330528,0
calm,0.0,straddle_30d,400,250,1134341,154174,731388,2625875,-731388,-791429,0
calm,0.0,straddle_30d,400,500,2268683,218035,1462777,5134344,-1462777,-1547688,0
calm,0.0,straddle_30d,400,1000,4537366,308348,2925554,10102650,-2925554,-3045637,0
calm,0.0,straddle_30d,600,1,4537,5714,148,13520,-148,-3910,201
calm,0.0,straddle_30d,600,4,18148,11428,595,39224,-595,-8119,50
calm,0.0,straddle_30d,600,8,36297,16162,1191,69746,-1191,-11831,25
calm,0.0,straddle_30d,600,12,54446,19794,1786,98836,-1786,-14817,16
calm,0.0,straddle_30d,600,25,113430,28570,3722,189440,-3722,-22531,8
calm,0.0,straddle_30d,600,50,226860,40405,7444,357123,-7444,-34044,4
calm,0.0,straddle_30d,600,100,453721,57141,14888,683478,-14888,-52506,2
calm,0.0,straddle_30d,600,250,1134303,90349,37222,1640438,-37222,-96701,0
calm,0.0,straddle_30d,600,500,2268607,127773,74444,3212073,-74444,-158560,0
calm,0.0,straddle_30d,600,1000,4537215,180698,148889,6326844,-148889,-267847,0
calm,0.0,straddle_30d,800,1,4549,1819,0,8279,2619,-1143,
calm,0.0,straddle_30d,800,4,18198,3638,0,28388,10479,2952,
calm,0.0,straddle_30d,800,8,36397,5145,0,54006,20959,10314,
calm,0.0,straddle_30d,800,12,54596,6302,0,79168,31439,18402,
