n_pairs,l1_hedge_equity,l2_stress_reserve,l3_carry_buffer,total_capital_with_headroom,foxify_prefund_recommendation,lp_capital_needed,expected_weekly_pnl,expected_annual_pnl,sustainable_lp_apr_pct,weeks_to_recover_one_stress_week,instrument,schedule,blended_e_pnl_per_pair_life,blended_p_pnl_pos,blended_e_triggers
1,1680.0,60000.0,0.0,80184.0,9737.100025271337,70446.89997472866,5567.562390919382,289513.24432780786,205.48331043073907,10.776709049162912,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
4.3,7224.0,70736.44135332771,0.0,101348.57375932603,41869.530108666746,59479.04365065928,23940.51828095334,1244906.9506095736,1046.5088829616502,2.954674603248017,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
8,13440.0,78284.2712474619,0.0,119241.55262170048,77896.80020217069,41344.75241952979,44540.499127355055,2316105.954622463,2800.9672559176056,1.7575975299159305,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
12.9,21672.0,85916.56999213595,0.0,139865.14098977673,125608.59032600025,14256.550663776477,71821.55484286003,3734720.8518287214,13098.262475642252,1.196250487477119,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
25,42000.0,100000.0,0.0,184600.0,243427.50063178342,0.0,139189.05977298453,7237831.108195196,inf,0.7184472699441942,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
50,84000.0,120710.67811865476,0.0,266123.8815542512,486855.00126356684,0.0,278378.11954596906,14475662.216390392,inf,0.43362128573729947,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
100,168000.0,150000.0,0.0,413400.0,973710.0025271337,0.0,556756.2390919381,28951324.432780784,inf,0.26941772622907284,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
250,420000.0,208113.88300841895,0.0,816548.0479109447,2434275.0063178344,0.0,1391890.5977298454,72378311.08195196,inf,0.149518851084884,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
500,840000.0,273606.79774997896,0.0,1447688.8370749727,4868550.012635669,0.0,2783781.195459691,144756622.16390392,inf,0.09828602844082283,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
1000,1680000.0,366227.7660168379,0.0,2660096.0958218896,9737100.025271337,0.0,5567562.390919382,289513244.32780784,inf,0.06577883466813958,daily_strangle,tiered_400_600_900,5567.562390919382,1.0,7.038243442591392
1,21600.0,60000.0,0.0,106080.0,9737.100025271337,96342.89997472866,6114.169617165145,317936.8200925875,165.00272473424835,9.813270445025568,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
