cd_config,band,n_pairs,cd_active_pct_of_hours,baseline_mean_triggers,cooled_mean_triggers,trigger_clip_pct,baseline_mean_payouts,cooled_mean_payouts,payout_clip_pct,baseline_mean_net_hedge,cooled_mean_net_hedge,net_hedge_clip_pct
cd_spec,calm,556,0.03,3.8,3.8,0.0,3800.0,3800.0,0.0,253.0,252.0,0.55
cd_spec,mod,681,0.01,6.2,6.19,0.14,6195.0,6186.0,0.14,621.0,609.0,1.91
cd_spec,elev,269,0.05,9.1,9.08,0.29,9104.0,9078.0,0.29,1455.0,1445.0,0.68
cd_spec,stress,822,0.14,12.14,12.07,0.56,12139.0,12071.0,0.56,2677.0,2686.0,-0.37
cd_tight1,calm,556,0.06,3.8,3.8,0.0,3800.0,3800.0,0.0,253.0,265.0,-4.58
cd_tight1,mod,681,0.21,6.2,6.19,0.07,6195.0,6191.0,0.07,621.0,661.0,-6.37
cd_tight1,elev,269,0.33,9.1,9.01,1.02,9104.0,9011.0,1.02,1455.0,1522.0,-4.63
cd_tight1,stress,822,0.74,12.14,11.96,1.47,12139.0,11960.0,1.47,2677.0,2955.0,-10.4
cd_tight2,calm,556,1.06,3.8,3.79,0.33,3800.0,3788.0,0.33,253.0,307.0,-21.4
cd_tight2,mod,681,2.66,6.2,6.09,1.71,6195.0,6090.0,1.71,621.0,785.0,-26.35
cd_tight2,elev,269,4.59,9.1,8.91,2.12,9104.0,8911.0,2.12,1455.0,1550.0,-6.51
cd_tight2,stress,822,7.45,12.14,11.69,3.69,12139.0,11691.0,3.69,2677.0,3099.0,-15.8
cd_aggr,calm,556,1.4,3.8,3.8,0.09,3800.0,3797.0,0.09,253.0,318.0,-25.53
cd_aggr,mod,681,3.26,6.2,6.04,2.56,6195.0,6037.0,2.56,621.0,807.0,-30.0
cd_aggr,elev,269,6.01,9.1,8.87,2.57,9104.0,8870.0,2.57,1455.0,1579.0,-8.53
cd_aggr,stress,822,9.09,12.14,11.5,5.25,12139.0,11501.0,5.25,2677.0,3258.0,-21.74
