regime,DVOL,vrp,premium_per_side_per_day,instrument,E[triggers/7d],E[premium/pair-life],E[payouts/pair-life],E[upfront_hedge],E[PnL/pair-life],p05_PnL/pair-life,p95_PnL/pair-life,P[PnL>0]_estimate
calm,45,0.0,250,straddle_30d,8.4,3500,8359,4222,-5065,-8857,-1379,0.01
calm,45,0.0,250,strangle_7d,8.4,3500,8351,1621,-4870,-8657,-1161,0.02
calm,45,0.0,250,daily_strangle,8.4,3500,8381,261,-4890,-8318,-1700,0.01
calm,45,0.0,250,perp_delta_only,8.4,3500,8372,0,-4942,-8570,-1570,0.02
mod,55,0.0,250,straddle_30d,12.8,3500,12834,5354,-9705,-14360,-5163,0.00
mod,55,0.0,250,strangle_7d,12.9,3500,12898,2152,-9420,-14189,-4843,0.00
mod,55,0.0,250,daily_strangle,12.9,3500,12895,417,-9415,-13704,-5350,0.00
mod,55,0.0,250,perp_delta_only,12.9,3500,12892,0,-9462,-14570,-4570,0.00
elev,65,0.0,250,straddle_30d,18.1,3500,18130,6489,-15261,-20711,-9812,0.00
elev,65,0.0,250,strangle_7d,18.1,3500,18126,2691,-14658,-20132,-9275,0.00
elev,65,0.0,250,daily_strangle,18.1,3500,18070,588,-14610,-19755,-9798,0.00
elev,65,0.0,250,perp_delta_only,18.0,3500,18039,0,-14609,-20570,-9570,0.00
stress,80,0.0,250,straddle_30d,27.3,3500,27294,8192,-24974,-31540,-18342,0.00
stress,80,0.0,250,strangle_7d,27.2,3500,27202,3506,-23744,-30568,-17143,0.00
stress,80,0.0,250,daily_strangle,27.2,3500,27212,862,-23767,-30117,-17559,0.00
stress,80,0.0,250,perp_delta_only,27.2,3500,27209,0,-23779,-30570,-17570,0.00
calm,45,0.0,400,straddle_30d,8.3,5600,8323,4222,-2926,-6905,690,0.10
calm,45,0.0,400,strangle_7d,8.3,5600,8327,1621,-2745,-6713,990,0.12
calm,45,0.0,400,daily_strangle,8.3,5600,8296,261,-2729,-6369,409,0.09
calm,45,0.0,400,perp_delta_only,8.3,5600,8342,0,-2812,-6470,530,0.12
mod,55,0.0,400,straddle_30d,12.8,5600,12831,5354,-7625,-12449,-3044,0.00
mod,55,0.0,400,strangle_7d,12.9,5600,12869,2152,-7289,-12123,-2833,0.01
mod,55,0.0,400,daily_strangle,12.9,5600,12853,417,-7290,-11908,-3225,0.00
mod,55,0.0,400,perp_delta_only,12.8,5600,12814,0,-7284,-12470,-2470,0.01
elev,65,0.0,400,straddle_30d,18.0,5600,18046,6489,-13084,-18728,-7601,0.00
elev,65,0.0,400,strangle_7d,18.1,5600,18077,2691,-12511,-18036,-7193,0.00
elev,65,0.0,400,daily_strangle,18.1,5600,18081,588,-12508,-17919,-7541,0.00
elev,65,0.0,400,perp_delta_only,18.1,5600,18117,0,-12587,-18470,-7470,0.00
stress,80,0.0,400,straddle_30d,27.1,5600,27061,8192,-22642,-29356,-16126,0.00
stress,80,0.0,400,strangle_7d,27.1,5600,27125,3506,-21565,-28152,-15059,0.00
stress,80,0.0,400,daily_strangle,27.1,5600,27130,862,-21596,-27731,-15692,0.00
stress,80,0.0,400,perp_delta_only,27.1,5600,27130,0,-21600,-28470,-15470,0.00
calm,45,0.0,600,straddle_30d,8.3,8400,8334,4222,-149,-4047,3674,0.47
calm,45,0.0,600,strangle_7d,8.4,8400,8390,1621,-4,-3834,3628,0.50
calm,45,0.0,600,daily_strangle,8.3,8400,8345,261,36,-3369,3172,0.51
calm,45,0.0,600,perp_delta_only,8.4,8400,8357,0,-27,-3670,3330,0.50
mod,55,0.0,600,straddle_30d,12.8,8400,12803,5354,-4793,-9676,-243,0.05
mod,55,0.0,600,strangle_7d,12.8,8400,12784,2152,-4404,-9257,224,0.06
mod,55,0.0,600,daily_strangle,12.8,8400,12841,417,-4475,-8872,-333,0.04
mod,55,0.0,600,perp_delta_only,12.8,8400,12833,0,-4503,-9670,330,0.06
elev,65,0.0,600,straddle_30d,18.1,8400,18117,6489,-10356,-15929,-4798,0.00
elev,65,0.0,600,strangle_7d,18.0,8400,18044,2691,-9661,-15135,-4177,0.00
elev,65,0.0,600,daily_strangle,18.0,8400,18034,588,-9673,-14652,-4786,0.00
