Position Size (Notional),Bronze Protected Loss,Bronze Premium,Silver Protected Loss,Silver Premium,Gold Protected Loss,Gold Premium,Platinum Protected Loss,Platinum Premium
$5,000,$1000.00,$55.00,$750.00,$55.00,$600.00,$55.00,$600.00,$55.00
$10,000,$2000.00,$110.00,$1500.00,$110.00,$1200.00,$110.00,$1200.00,$110.00
$15,000,$3000.00,$165.00,$2250.00,$165.00,$1800.00,$165.00,$1800.00,$165.00
$20,000,$4000.00,$220.00,$3000.00,$220.00,$2400.00,$220.00,$2400.00,$220.00
$25,000,$5000.00,$275.00,$3750.00,$275.00,$3000.00,$275.00,$3000.00,$275.00
$30,000,$6000.00,$330.00,$4500.00,$330.00,$3600.00,$330.00,$3600.00,$330.00
$35,000,$7000.00,$385.00,$5250.00,$385.00,$4200.00,$385.00,$4200.00,$385.00
$40,000,$8000.00,$440.00,$6000.00,$440.00,$4800.00,$440.00,$4800.00,$440.00
$45,000,$9000.00,$495.00,$6750.00,$495.00,$5400.00,$495.00,$5400.00,$495.00
$50,000,$10000.00,$550.00,$7500.00,$550.00,$6000.00,$550.00,$6000.00,$550.00
