entryDate,slTier,positionSizeUsd,strikeGeometry,rvolAtEntry,vol_regime,spotAtEntry,K_long,K_short,spreadWidth,optionEntryCostUsd,traderCloseDay,triggered,daysToTrigger,triggerSpot,slPayoutToUserUsd,closeReason,tpRecoveryUsd,daysActive
2024-06-06,0.0200,10000.0000,ITM_long,0.4811,moderate,70773.6400,70065.9036,66527.2216,3538.6820,183.4818,5.0000,YES,1.0000,69358.1672,200.0000,trigger,208.3124,1.0000
2024-06-06,0.0200,10000.0000,ATM_long,0.4811,moderate,70773.6400,69358.1672,65819.4852,3538.6820,165.7391,12.0000,YES,1.0000,69358.1672,200.0000,trigger,189.7211,1.0000
2024-06-06,0.0200,10000.0000,OTM_long,0.4811,moderate,70773.6400,68650.4308,65111.7488,3538.6820,148.6699,1.0000,YES,1.0000,69358.1672,200.0000,trigger,171.5394,1.0000
2024-06-06,0.0200,25000.0000,ITM_long,0.4811,moderate,70773.6400,70065.9036,66527.2216,3538.6820,458.7045,2.0000,YES,1.0000,69358.1672,500.0000,trigger,520.7811,1.0000
2024-06-06,0.0200,25000.0000,ATM_long,0.4811,moderate,70773.6400,69358.1672,65819.4852,3538.6820,414.3476,7.0000,YES,1.0000,69358.1672,500.0000,trigger,474.3029,1.0000
2024-06-06,0.0200,25000.0000,OTM_long,0.4811,moderate,70773.6400,68650.4308,65111.7488,3538.6820,371.6747,2.0000,YES,1.0000,69358.1672,500.0000,trigger,428.8486,1.0000
2024-06-06,0.0200,50000.0000,ITM_long,0.4811,moderate,70773.6400,70065.9036,66527.2216,3538.6820,917.4090,12.0000,YES,1.0000,69358.1672,1000.0000,trigger,1041.5621,1.0000
2024-06-06,0.0200,50000.0000,ATM_long,0.4811,moderate,70773.6400,69358.1672,65819.4852,3538.6820,828.6953,2.0000,YES,1.0000,69358.1672,1000.0000,trigger,948.6057,1.0000
2024-06-06,0.0200,50000.0000,OTM_long,0.4811,moderate,70773.6400,68650.4308,65111.7488,3538.6820,743.3495,3.0000,YES,1.0000,69358.1672,1000.0000,trigger,857.6971,1.0000
2024-06-06,0.0300,10000.0000,ITM_long,0.4811,moderate,70773.6400,69358.1672,65819.4852,3538.6820,165.7391,4.0000,YES,1.0000,68650.4308,300.0000,trigger,208.2422,1.0000
2024-06-06,0.0300,10000.0000,ATM_long,0.4811,moderate,70773.6400,68650.4308,65111.7488,3538.6820,148.6699,3.0000,YES,1.0000,68650.4308,300.0000,trigger,189.5294,1.0000
2024-06-06,0.0300,10000.0000,OTM_long,0.4811,moderate,70773.6400,67942.6944,64404.0124,3538.6820,132.3991,1.0000,YES,1.0000,68650.4308,300.0000,trigger,171.2315,1.0000
2024-06-06,0.0300,25000.0000,ITM_long,0.4811,moderate,70773.6400,69358.1672,65819.4852,3538.6820,414.3476,4.0000,YES,1.0000,68650.4308,750.0000,trigger,520.6056,1.0000
2024-06-06,0.0300,25000.0000,ATM_long,0.4811,moderate,70773.6400,68650.4308,65111.7488,3538.6820,371.6747,1.0000,YES,1.0000,68650.4308,750.0000,trigger,473.8236,1.0000
2024-06-06,0.0300,25000.0000,OTM_long,0.4811,moderate,70773.6400,67942.6944,64404.0124,3538.6820,330.9978,1.0000,YES,1.0000,68650.4308,750.0000,trigger,428.0788,1.0000
2024-06-06,0.0300,50000.0000,ITM_long,0.4811,moderate,70773.6400,69358.1672,65819.4852,3538.6820,828.6953,1.0000,YES,1.0000,68650.4308,1500.0000,trigger,1041.2112,1.0000
2024-06-06,0.0300,50000.0000,ATM_long,0.4811,moderate,70773.6400,68650.4308,65111.7488,3538.6820,743.3495,11.0000,YES,1.0000,68650.4308,1500.0000,trigger,947.6471,1.0000
2024-06-06,0.0300,50000.0000,OTM_long,0.4811,moderate,70773.6400,67942.6944,64404.0124,3538.6820,661.9956,1.0000,YES,1.0000,68650.4308,1500.0000,trigger,856.1577,1.0000
2024-06-06,0.0500,10000.0000,ITM_long,0.4811,moderate,70773.6400,67942.6944,64404.0124,3538.6820,132.3991,1.0000,NO,0.0000,0.0000,0.0000,trader_close,154.7425,1.0000
2024-06-06,0.0500,10000.0000,ATM_long,0.4811,moderate,70773.6400,67234.9580,63696.2760,3538.6820,117.0335,10.0000,YES,5.0000,67234.9580,500.0000,trigger,180.0315,5.0000
2024-06-06,0.0500,10000.0000,OTM_long,0.4811,moderate,70773.6400,66527.2216,62988.5396,3538.6820,102.6591,9.0000,YES,5.0000,67234.9580,500.0000,trigger,158.2712,5.0000
2024-06-06,0.0500,25000.0000,ITM_long,0.4811,moderate,70773.6400,67942.6944,64404.0124,3538.6820,330.9978,2.0000,NO,0.0000,0.0000,0.0000,trader_close,380.5232,2.0000
2024-06-06,0.0500,25000.0000,ATM_long,0.4811,moderate,70773.6400,67234.9580,63696.2760,3538.6820,292.5837,1.0000,NO,0.0000,0.0000,0.0000,trader_close,344.5911,1.0000
2024-06-06,0.0500,25000.0000,OTM_long,0.4811,moderate,70773.6400,66527.2216,62988.5396,3538.6820,256.6479,6.0000,YES,5.0000,67234.9580,1250.0000,trigger,395.6779,5.0000
2024-06-06,0.0500,50000.0000,ITM_long,0.4811,moderate,70773.6400,67942.6944,64404.0124,3538.6820,661.9956,1.0000,NO,0.0000,0.0000,0.0000,trader_close,773.7125,1.0000
2024-06-06,0.0500,50000.0000,ATM_long,0.4811,moderate,70773.6400,67234.9580,63696.2760,3538.6820,585.1674,4.0000,NO,0.0000,0.0000,0.0000,trader_close,608.4094,4.0000
2024-06-06,0.0500,50000.0000,OTM_long,0.4811,moderate,70773.6400,66527.2216,62988.5396,3538.6820,513.2957,3.0000,NO,0.0000,0.0000,0.0000,trader_close,533.3459,3.0000
2024-06-06,0.1000,10000.0000,ITM_long,0.4811,moderate,70773.6400,64404.0124,60865.3304,3538.6820,66.0133,11.0000,NO,0.0000,0.0000,0.0000,trader_close,61.0624,11.0000
2024-06-06,0.1000,10000.0000,ATM_long,0.4811,moderate,70773.6400,63696.2760,60157.5940,3538.6820,56.0224,1.0000,NO,0.0000,0.0000,0.0000,trader_close,68.1411,1.0000
2024-06-06,0.1000,10000.0000,OTM_long,0.4811,moderate,70773.6400,62988.5396,59449.8576,3538.6820,47.1244,1.0000,NO,0.0000,0.0000,0.0000,trader_close,57.6049,1.0000
2024-06-06,0.1000,25000.0000,ITM_long,0.4811,moderate,70773.6400,64404.0124,60865.3304,3538.6820,165.0333,1.0000,NO,0.0000,0.0000,0.0000,trader_close,199.6294,1.0000
2024-06-06,0.1000,25000.0000,ATM_long,0.4811,moderate,70773.6400,63696.2760,60157.5940,3538.6820,140.0561,1.0000,NO,0.0000,0.0000,0.0000,trader_close,170.3529,1.0000
2024-06-06,0.1000,25000.0000,OTM_long,0.4811,moderate,70773.6400,62988.5396,59449.8576,3538.6820,117.8110,6.0000,NO,0.0000,0.0000,0.0000,trader_close,116.2546,6.0000
2024-06-06,0.1000,50000.0000,ITM_long,0.4811,moderate,70773.6400,64404.0124,60865.3304,3538.6820,330.0667,7.0000,NO,0.0000,0.0000,0.0000,trader_close,495.3147,7.0000
2024-06-06,0.1000,50000.0000,ATM_long,0.4811,moderate,70773.6400,63696.2760,60157.5940,3538.6820,280.1121,1.0000,NO,0.0000,0.0000,0.0000,trader_close,340.7057,1.0000
2024-06-06,0.1000,50000.0000,OTM_long,0.4811,moderate,70773.6400,62988.5396,59449.8576,3538.6820,235.6220,14.0000,NO,0.0000,0.0000,0.0000,cap,0.0000,14.0000
2024-06-08,0.0200,10000.0000,ITM_long,0.4730,moderate,69304.0500,68611.0095,65145.8070,3465.2025,182.2273,3.0000,YES,3.0000,67917.9690,200.0000,trigger,205.3027,3.0000
2024-06-08,0.0200,10000.0000,ATM_long,0.4730,moderate,69304.0500,67917.9690,64452.7665,3465.2025,164.2476,1.0000,NO,0.0000,0.0000,0.0000,trader_close,145.2712,1.0000
2024-06-08,0.0200,10000.0000,OTM_long,0.4730,moderate,69304.0500,67224.9285,63759.7260,3465.2025,146.9782,1.0000,NO,0.0000,0.0000,0.0000,trader_close,128.8539,1.0000
2024-06-08,0.0200,25000.0000,ITM_long,0.4730,moderate,69304.0500,68611.0095,65145.8070,3465.2025,455.5681,1.0000,NO,0.0000,0.0000,0.0000,trader_close,406.2502,1.0000
2024-06-08,0.0200,25000.0000,ATM_long,0.4730,moderate,69304.0500,67917.9690,64452.7665,3465.2025,410.6189,2.0000,NO,0.0000,0.0000,0.0000,trader_close,363.5414,2.0000
2024-06-08,0.0200,25000.0000,OTM_long,0.4730,moderate,69304.0500,67224.9285,63759.7260,3465.2025,367.4454,7.0000,YES,3.0000,67917.9690,500.0000,trigger,412.5358,3.0000
2024-06-08,0.0200,50000.0000,ITM_long,0.4730,moderate,69304.0500,68611.0095,65145.8070,3465.2025,911.1363,1.0000,NO,0.0000,0.0000,0.0000,trader_close,812.5003,1.0000
2024-06-08,0.0200,50000.0000,ATM_long,0.4730,moderate,69304.0500,67917.9690,64452.7665,3465.2025,821.2379,7.0000,YES,3.0000,67917.9690,1000.0000,trigger,924.3813,3.0000
2024-06-08,0.0200,50000.0000,OTM_long,0.4730,moderate,69304.0500,67224.9285,63759.7260,3465.2025,734.8908,1.0000,NO,0.0000,0.0000,0.0000,trader_close,644.2697,1.0000
2024-06-08,0.0300,10000.0000,ITM_long,0.4730,moderate,69304.0500,67917.9690,64452.7665,3465.2025,164.2476,4.0000,YES,3.0000,67224.9285,300.0000,trigger,205.2074,3.0000
2024-06-08,0.0300,10000.0000,ATM_long,0.4730,moderate,69304.0500,67224.9285,63759.7260,3465.2025,146.9782,3.0000,YES,3.0000,67224.9285,300.0000,trigger,184.6505,3.0000
2024-06-08,0.0300,10000.0000,OTM_long,0.4730,moderate,69304.0500,66531.8880,63066.6855,3465.2025,130.5478,1.0000,NO,0.0000,0.0000,0.0000,trader_close,113.3693,1.0000
2024-06-08,0.0300,25000.0000,ITM_long,0.4730,moderate,69304.0500,67917.9690,64452.7665,3465.2025,410.6189,14.0000,YES,3.0000,67224.9285,750.0000,trigger,513.0185,3.0000
2024-06-08,0.0300,25000.0000,ATM_long,0.4730,moderate,69304.0500,67224.9285,63759.7260,3465.2025,367.4454,7.0000,YES,3.0000,67224.9285,750.0000,trigger,461.6263,3.0000
2024-06-08,0.0300,25000.0000,OTM_long,0.4730,moderate,69304.0500,66531.8880,63066.6855,3465.2025,326.3695,3.0000,YES,3.0000,67224.9285,750.0000,trigger,411.6653,3.0000
2024-06-08,0.0300,50000.0000,ITM_long,0.4730,moderate,69304.0500,67917.9690,64452.7665,3465.2025,821.2379,3.0000,YES,3.0000,67224.9285,1500.0000,trigger,1026.0369,3.0000
2024-06-08,0.0300,50000.0000,ATM_long,0.4730,moderate,69304.0500,67224.9285,63759.7260,3465.2025,734.8908,3.0000,YES,3.0000,67224.9285,1500.0000,trigger,923.2527,3.0000
2024-06-08,0.0300,50000.0000,OTM_long,0.4730,moderate,69304.0500,66531.8880,63066.6855,3465.2025,652.7390,1.0000,NO,0.0000,0.0000,0.0000,trader_close,566.8467,1.0000
2024-06-08,0.0500,10000.0000,ITM_long,0.4730,moderate,69304.0500,66531.8880,63066.6855,3465.2025,130.5478,3.0000,NO,0.0000,0.0000,0.0000,trader_close,162.1288,3.0000
2024-06-08,0.0500,10000.0000,ATM_long,0.4730,moderate,69304.0500,65838.8475,62373.6450,3465.2025,115.0656,7.0000,YES,6.0000,65838.8475,500.0000,trigger,175.7242,6.0000
2024-06-08,0.0500,10000.0000,OTM_long,0.4730,moderate,69304.0500,65145.8070,61680.6045,3465.2025,100.6185,10.0000,YES,6.0000,65838.8475,500.0000,trigger,152.5722,6.0000
2024-06-08,0.0500,25000.0000,ITM_long,0.4730,moderate,69304.0500,66531.8880,63066.6855,3465.2025,326.3695,2.0000,NO,0.0000,0.0000,0.0000,trader_close,280.6807,2.0000
2024-06-08,0.0500,25000.0000,ATM_long,0.4730,moderate,69304.0500,65838.8475,62373.6450,3465.2025,287.6641,1.0000,NO,0.0000,0.0000,0.0000,trader_close,247.2879,1.0000
2024-06-08,0.0500,25000.0000,OTM_long,0.4730,moderate,69304.0500,65145.8070,61680.6045,3465.2025,251.5464,5.0000,NO,0.0000,0.0000,0.0000,trader_close,326.7976,5.0000
